"V400","V401","V402"
277.08,282.09,283.82
276.58,282.04,283.83
270.48,278.98,283.04
270.5,279.42,283.06
275,282.02,283.78
273.36,280.76,283.42
271.3,279.36,283.03
272.36,280.2,283.33
273.4,280.4,283.3
274.83,280.96,283.35
276.65,281.2,283.29
279.17,282.45,283.47
284.14,285.16,284.17
284.46,285.62,284.36
277.74,282.43,283.78
276.01,281.55,283.58
278.5,282.58,283.78
277.79,282.2,283.65
279.26,283.25,283.92
283.97,285.92,284.55
285.35,286.65,284.75
285.32,286.27,284.7
280.58,283.25,283.93
278.96,282.98,283.82
282.88,284.75,284.15
287.52,286.65,284.72
284.77,285.8,284.69
282.92,284.89,284.36
280.14,283.06,284.06
283.8,285.01,284.44
288.2,287.57,285.14
286.39,286.98,285.14
278.12,282.98,284.28
277.33,283.09,284.41
278.53,283.6,284.56
279.17,284.12,284.69
275.35,281.72,284.1
276.81,281.91,284.04
281.83,283.92,284.4
284.7,285.56,284.73
280.98,284.69,284.71
274.56,280.68,283.85
277.29,282.51,284.17
286.53,285.63,284.72
289.68,287.86,285.19
281.84,285.19,284.79
278.6,283.43,284.33
278.74,283.51,284.46
280.61,283.8,284.54
280.64,283.97,284.57
275.53,282.05,284.14
276.06,282.34,284.33
277.26,282.76,284.36
277.25,282.67,284.22
279.18,283.8,284.49
281.84,284.53,284.72
284.05,285.99,285.14
281.56,284.55,284.78
285.37,286.14,285.08
289.92,288.03,285.52
290.22,288.59,285.81
289.12,288.3,285.9
287.32,287.83,286.05
284.73,286.4,285.85
281.5,285.7,285.86
285.17,286.28,285.84
284.22,286.54,286.04
279.92,285.06,285.8
281.48,285.31,285.88
285.61,287.06,285.97
287.59,287.01,286.04
292.97,289.76,286.6
295.76,291.53,287.22
296.44,291.98,287.59
295.38,291.04,287.49
290.23,290.59,287.93
287.91,289.98,288.28
286.34,289.21,288.34
289.42,290.58,288.88
283.75,289.01,288.97
283.88,287.96,288.48
284.4,287.29,288.27
285.6,288.28,288.47
290.43,289.69,288.38
291.11,290.12,288.5
289.17,290.01,288.79
288.8,289.55,289
294.09,291.87,289.52
295.56,293.24,290.23
294.4,292.36,290.21
295.39,293.83,290.52
283.53,289.13,289.78
283.01,288.34,289.62
292.45,290.84,289.7
294.74,292.97,289.88
295.78,293.42,289.98
296.19,293.57,290.35
292.51,291.95,290.38
295.04,293.16,290.75
298.34,294.09,291.25
296.38,294.42,291.75
299.83,295.62,292.15
297.6,295.72,292.62
296.69,294.83,292.65
291.62,293.08,292.42
290.24,292.43,292.05
290.98,293.11,292.31
